job_id,job_title,company,location,employment_type,experience_level,salary_min,salary_max,required_skills,preferred_skills,job_description,education,source
JOB-0001,AI Engineer,Northstar Labs 1,Hyderabad,Full-time,Entry,50000,75000,"Python, Machine Learning, Deep Learning, NLP","PyTorch, Docker",Build applied AI services and evaluate models for production use. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0002,Machine Learning Engineer,Northstar Labs 2,Bengaluru,Contract,Entry,55000,80000,"Python, Machine Learning, SQL, Scikit-learn","PyTorch, MLflow, Docker",Develop training pipelines and deploy reliable machine learning systems. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0003,Data Scientist,Northstar Labs 3,Pune,Hybrid,Entry,60000,85000,"Python, SQL, Statistics, Pandas","Scikit-learn, Tableau, Machine Learning",Analyze product data and build predictive models for business decisions. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0004,Data Analyst,Northstar Labs 4,Mumbai,Full-time,Entry,65000,90000,"SQL, Excel, Power BI, Statistics","Python, Tableau, Pandas","Turn operational data into dashboards, insights, and measurable recommendations. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0005,NLP Engineer,Northstar Labs 5,Remote,Contract,Entry,70000,95000,"Python, NLP, Deep Learning, PyTorch","Transformers, RAG, Docker","Create language understanding systems for search, classification, and generation. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0006,Computer Vision Engineer,Northstar Labs 6,Hyderabad,Hybrid,Entry,75000,100000,"Python, Computer Vision, Deep Learning, PyTorch","OpenCV, TensorFlow, Docker",Build and optimize vision models for image and video applications. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0007,Python Developer,Northstar Labs 7,Bengaluru,Full-time,Entry,80000,105000,"Python, Git, SQL, REST APIs","FastAPI, Docker, AWS",Implement maintainable backend services and integrations in Python. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0008,Software Engineer,Northstar Labs 8,Pune,Contract,Entry,85000,110000,"Python, Java, Git, SQL","Docker, AWS, Kubernetes","Design, test, and ship scalable software features with a collaborative team. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0009,Backend Developer,Northstar Labs 9,Mumbai,Hybrid,Entry,90000,115000,"Python, SQL, REST APIs, Git","FastAPI, PostgreSQL, Docker",Build secure APIs and data services for customer-facing products. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0010,MLOps Engineer,Northstar Labs 10,Remote,Full-time,Entry,95000,120000,"Python, Docker, Kubernetes, MLflow","AWS, Terraform, CI/CD","Automate model delivery, monitoring, and reproducible machine learning workflows. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0011,Data Engineer,Northstar Labs 1,Hyderabad,Contract,Entry,50000,75000,"Python, SQL, Apache Spark, Git","AWS, Airflow, Docker",Build dependable batch and streaming pipelines for analytics and ML teams. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0012,AI Engineer,Northstar Labs 2,Bengaluru,Hybrid,Mid,70000,95000,"Python, Machine Learning, Deep Learning, NLP","PyTorch, Docker",Build applied AI services and evaluate models for production use. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0013,Machine Learning Engineer,Northstar Labs 3,Pune,Full-time,Mid,75000,100000,"Python, Machine Learning, SQL, Scikit-learn","PyTorch, MLflow, Docker",Develop training pipelines and deploy reliable machine learning systems. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0014,Data Scientist,Northstar Labs 4,Mumbai,Contract,Mid,80000,105000,"Python, SQL, Statistics, Pandas","Scikit-learn, Tableau, Machine Learning",Analyze product data and build predictive models for business decisions. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
